animal	region	treatment	malat1_rpm	single_nucleus_residual	bulk_qpcr_residual
1501	caudate	aCSF	105470.13126239149	0.946836679282154	1.1399199437645704
1501	putamen	aCSF	122299.42059404647	0.901984781814557	0.8424481507271137
1501	thalamus	aCSF	89473.0161417803	0.9398396898876843	0.9638565113513764
1502	caudate	aCSF	117314.07972181724	1.053163320717846	0.8600800562354297
1502	putamen	aCSF	148879.03620433123	1.0980152181854432	1.1575518492728865
1502	thalamus	aCSF	100927.57473446327	1.0601603101123158	1.0361434886486238
2501	caudate	Malat1 ASO	65848.99870382823	0.5911460099701203	0.3195617483489033
2501	putamen	Malat1 ASO	153195.01764392067	1.1298465184335924	0.9214919255510756
2501	thalamus	Malat1 ASO	41414.07789425056	0.43502047660313037	0.4649496144500605
2502	caudate	Malat1 ASO	58066.05689916951	0.521276230866157	0.4770377334076374
2502	putamen	Malat1 ASO	30726.52940128326	0.22661482600093535	0.7722257851553471
2502	thalamus	Malat1 ASO	12578.059478379315	0.1321220634924898	0.39115183060084613
2503	caudate	Malat1 ASO	58078.36255089385	0.5213867023548677	0.585417420049212
2503	putamen	Malat1 ASO	108594.39828071832	0.8009072664755129	0.5431921578509136
2503	thalamus	Malat1 ASO	40696.264593052576	0.4274804443175736	0.2700747017621952
2504	caudate	Malat1 ASO	71917.451782591	0.6456243148010934	0.4262116700054667
2504	putamen	Malat1 ASO	113815.58506902985	0.8394146527181708	0.7040000337551575
2504	thalamus	Malat1 ASO	22655.372181265164	0.23797586002231144	0.22852990515784077
