h5_num	sample_id	treatment	shortname	cell_type	category	n_cells	total_umis	malat1_umis	subtype_fct	malat1_rpm	total_umis_pseudocount	fit_resid	color	x	y	point_estimate	model
1	1501_thalamus	aCSF	control	COP/NFOL	glia	43	392620	32373	COP/NFOL	82453.77209515563	392620	-0.06464884270663418	#A9A9A9	7	7	0.9373965792338788	thalamus-Malat1ASO
1	1501_thalamus	aCSF	control	MB-derived IN	neuron	482	8157423	526240	MB-derived IN	64510.569085359435	8157423	-0.02489805940309821	#A9A9A9	4	10	0.9754093407707556	thalamus-Malat1ASO
1	1501_thalamus	aCSF	control	OPC	glia	536	2828666	178286	OPC	63028.29673068506	2828666	-0.04325704287261078	#A9A9A9	6	8	0.95766519741401	thalamus-Malat1ASO
1	1501_thalamus	aCSF	control	astrocyte	glia	1274	8698235	847511	astrocyte	97434.82442127628	8698235	-0.03424466678493615	#A9A9A9	9	5	0.966335045623069	thalamus-Malat1ASO
1	1501_thalamus	aCSF	control	endothelial stalk	other	159	672510	70702	endothelial stalk	105131.5222078482	672510	-0.02684567386598902	#A9A9A9	13	1	0.9735114681933896	thalamus-Malat1ASO
1	1501_thalamus	aCSF	control	fast-spiking IN	neuron	1036	30815344	2495487	fast-spiking IN	80981.96145400811	30815344	-0.05021997012931188	#A9A9A9	2	12	0.9510202054530156	thalamus-Malat1ASO
1	1501_thalamus	aCSF	control	fibroblast	other	11	53818	4857	fibroblast	90248.6157047828	53818	-1.4980353333710965e-15	#A9A9A9	12	2	0.9999999999999986	thalamus-Malat1ASO
1	1501_thalamus	aCSF	control	microglia	glia	473	1533650	91949	microglia	59954.35725230659	1533650	-0.01443726489917201	#A9A9A9	5	9	0.9856664526770742	thalamus-Malat1ASO
1	1501_thalamus	aCSF	control	oligodendrocyte	glia	3575	14867771	1377917	oligodendrocyte	92678.1156368362	14867771	-0.0656915655285824	#A9A9A9	8	6	0.9364196438524206	thalamus-Malat1ASO
1	1501_thalamus	aCSF	control	somatostatin IN	neuron	922	20191478	1364237	somatostatin IN	67564.98954658	20191478	-0.04686556095770509	#A9A9A9	3	11	0.9542156728087744	thalamus-Malat1ASO
2	1502_thalamus	aCSF	control	COP/NFOL	glia	24	183660	17237	COP/NFOL	93852.77142546009	183660	0.0646607927977548	#A9A9A9	7	7	1.0667970977447123	thalamus-Malat1ASO
2	1502_thalamus	aCSF	control	MB-derived IN	neuron	550	9201553	623911	MB-derived IN	67804.96727019885	9201553	0.02489802996150326	#A9A9A9	4	10	1.0252105744324929	thalamus-Malat1ASO
2	1502_thalamus	aCSF	control	OPC	glia	390	2138541	146977	OPC	68727.69799597016	2138541	0.04325746415435227	#A9A9A9	6	8	1.0442067060410445	thalamus-Malat1ASO
2	1502_thalamus	aCSF	control	astrocyte	glia	1250	8700653	907867	astrocyte	104344.69688654404	8700653	0.03424466672394773	#A9A9A9	9	5	1.03483776612307	thalamus-Malat1ASO
2	1502_thalamus	aCSF	control	endothelial stalk	other	81	384740	42680	endothelial stalk	110932.05801320371	384740	0.02684722807560896	#A9A9A9	13	1	1.027210861795596	thalamus-Malat1ASO
2	1502_thalamus	aCSF	control	fast-spiking IN	neuron	913	27086153	2425453	fast-spiking IN	89545.86500342075	27086153	0.05021998492895249	#A9A9A9	2	12	1.0515023856126104	thalamus-Malat1ASO
